State,City,Income,Poverty,Highschool
TX,El Camino Angosto CDP,107857.0,8.5,79.3
AL,Rutledge town,39688.0,13.5,69.8
WV,Shrewsbury CDP,62292.0,4.9,72.1
OR,Jeffers Gardens CDP,41875.0,13.7,96.8
KS,North Newton,56953.0,11.7,95.1
AL,Dutton town,39688.0,24.2,90.6
ND,Fullerton,55833.0,0.0,94.5
TX,Jersey Village,65280.0,7.3,94.7
WV,Itmann CDP,13750.0,51.0,94.4
ID,Idaho Falls,44580.0,15.9,90.2
AR,Shirley town,25313.0,33.3,88.1
NE,Ashton village,42500.0,4.5,92.4
IL,Fisher village,56420.0,7.5,95.7
TN,Cross Plains,64554.0,8.6,85.5
KY,Norbourne Estates,139750.0,1.0,100.0
MO,Mendon,29464.0,19.9,80.7
MI,Atlanta CDP,24865.0,24.9,78.2
TX,Odessa,59337.0,12.1,76.4
PA,Montgomery borough,46538.0,12.4,91.1
CA,Alpine CDP,77883.0,8.8,90.3
KY,Somerset,26411.0,34.4,78.6
CA,Doyle CDP,20926.0,23.2,92.2
FL,Cooper,90133.0,4.7,94.9
NY,Munsons Corners CDP,39417.0,8.0,90.9
TN,Erin,28182.0,35.9,70.3
CA,Sierra Village CDP,44648.0,4.6,91.1
OR,Green CDP,41572.0,17.0,89.5
NJ,South Plainfield borough,86404.0,4.8,87.3
VA,Potomac Mills CDP,77757.0,7.8,84.4
SC,Little River CDP,49356.0,8.7,90.1
OH,Bay Village,89864.0,3.4,97.8
PA,Lawson Heights CDP,44932.0,4.2,95.8
IL,Bryant village,51429.0,19.0,85.2
GA,Americus,24886.0,41.5,77.4
IL,Waltonville village,40000.0,20.6,84.1
GA,Deenwood CDP,43563.0,16.6,91.1
MO,Bernie,31346.0,29.6,74.0
MN,Mabel,41250.0,13.6,85.5
FL,Astor CDP,29742.0,31.7,71.7
OH,Powhatan Point village,39500.0,22.4,85.7
AR,Gillett,40938.0,16.1,81.2
MN,Alberta,66667.0,0.0,96.4
NY,Munsey Park village,209063.0,2.6,98.0
MO,West Alton,45750.0,15.2,76.0
GA,Stapleton,27188.0,23.6,65.4
IL,Alvan village,42125.0,16.8,85.2
MO,Ferguson,42738.0,22.1,87.3
NE,Arcadia village,36705.0,12.7,95.3
TX,Baird,40991.0,18.2,86.2
CA,East Shore CDP,60625.0,0.0,56.5
NV,Crescent Valley CDP,93250.0,1.4,87.0
PA,Schellsburg borough,45000.0,8.0,92.6
SD,Antelope CDP,23393.0,40.9,60.7
TX,West Tawakoni,33657.0,23.2,79.3
AZ,Red Rock CDP (Pinal County),57917.0,11.0,92.6
OH,Trimble village,25288.0,43.5,75.5
MN,Sartell,73872.0,3.7,94.9
UT,Trenton town,51094.0,18.2,91.8
OH,Kanauga CDP,9316.0,90.9,24.4
MO,Sarcoxie,37669.0,18.3,90.3
NY,Buchanan village,97935.0,5.5,92.5
TN,Friendship,25385.0,27.6,72.9
AR,Tuckerman,36591.0,18.6,76.2
NJ,Succasunna CDP,120895.0,3.7,95.1
VA,Nassawadox town,33750.0,13.7,73.2
NC,Dortches town,64792.0,10.9,86.8
MS,Columbus,30968.0,31.2,80.6
MN,Biscay,46250.0,1.5,86.0
PA,Morrisville CDP,43859.0,8.6,93.6
IA,Lester,56731.0,6.1,94.7
MN,Cedar Mills,58750.0,6.4,76.9
CO,Applewood CDP,77987.0,7.7,96.8
TX,Sudan,40972.0,30.3,75.8
MD,Annapolis Neck CDP,126979.0,1.7,95.9
WI,Camp Lake CDP,54167.0,13.6,85.8
FL,Orange,32788.0,21.7,87.6
FL,Tallahassee,39681.0,29.7,92.5
MO,Pilot Knob,34135.0,17.6,70.5
OK,Tagg Flats CDP,51111.0,8.4,64.7
NJ,North Caldwell borough,200152.0,2.3,96.5
TX,Big Lake,53375.0,16.6,68.6
IL,West Frankfort,33784.0,23.4,83.9
ND,Douglas,48750.0,7.5,92.5
OR,Powers,25156.0,35.1,85.7
KS,Osborne,36908.0,18.0,87.6
MI,Sturgis,36293.0,23.4,81.1
SD,McLaughlin,35667.0,29.1,80.3
NE,Rushville,34911.0,15.4,86.8
NC,Troutman town,48393.0,9.8,88.8
IL,Frankfort village,111152.0,5.7,97.0
NH,Exeter CDP,66495.0,8.0,94.5
MI,Howard village,37939.0,18.6,85.2
AR,Watson,21250.0,19.6,71.7
IA,Lone Rock,45313.0,5.9,82.6
IA,Clare,54583.0,3.6,97.3
NY,Schaghticoke village,50625.0,11.1,93.8
NC,Stoneville town,38313.0,10.6,81.2
LA,Lockport Heights CDP,56688.0,16.7,75.0
CA,Trinity Village CDP,29250.0,23.1,95.5
AK,Hoonah,57708.0,16.4,87.7
LA,Zwolle town,24423.0,34.6,74.6
OH,Malvern village,38427.0,19.3,89.5
MT,Hays CDP,26932.0,39.3,91.5
OK,Braman town,40625.0,24.7,92.9
MD,Accident town,44167.0,13.2,86.2
UT,Woods Cross,69814.0,8.8,97.4
PA,Sunrise Lake CDP,82269.0,6.4,92.7
LA,Poydras CDP,37354.0,18.3,71.0
AR,Marked Tree,22674.0,34.4,72.9
CT,Cos Cob CDP,142500.0,3.1,95.7
OH,Cuyahoga Falls,50832.0,12.3,93.5
UT,Hurricane,44715.0,16.6,93.6
IN,Speedway town,37861.0,19.9,86.9
WA,Town and Country CDP,62035.0,10.0,95.7
MT,Pony CDP,41500.0,0.6,100.0
NY,East Atlantic Beach CDP,138705.0,2.2,98.0
NY,Penn Yan village,33586.0,26.3,86.1
MI,North Adams village,43571.0,6.8,89.8
WI,Kendall village,35313.0,25.8,87.7
OK,Stillwater,30799.0,33.0,95.2
WI,Brillion,61655.0,5.4,93.9
NE,Otoe village,42222.0,10.0,99.0
TX,San Carlos CDP,25471.0,37.4,46.1
OK,Fort Coffee town,26827.0,29.7,76.3
CA,Morongo Valley CDP,34276.0,15.4,80.9
IL,Beardstown,38224.0,19.9,77.8
IA,Atalissa,57500.0,5.2,85.5
NY,South Corning village,54875.0,7.8,92.8
OH,Seven Mile village,40625.0,14.8,88.3
IA,Park View CDP,75551.0,2.5,96.1
WI,Birnamwood village,37639.0,20.1,86.7
FL,Zephyrhills,37884.0,15.0,83.6
TX,Hill Country Village,218750.0,2.1,98.0
OK,Miami,34387.0,24.5,84.6
MO,Wilson village,10972.0,74.5,42.9
TX,Hilltop CDP (Frio County),56094.0,9.7,34.1
MI,Haring CDP,38690.0,58.8,93.1
AZ,Tees Toh CDP,25625.0,46.3,69.6
MS,Aberdeen,30357.0,35.0,74.4
IL,Coatsburg village,47500.0,6.7,86.6
ND,Fairdale,45625.0,28.1,87.5
MN,Long Lake,68125.0,6.2,96.3
AL,Brookwood town,51515.0,10.8,83.1
OH,Lebanon,61038.0,11.5,93.1
WI,Blue River village,37250.0,14.5,88.0
IL,Hodgkins village,48750.0,12.1,61.1
MA,Wellesley CDP,163454.0,3.5,98.2
SD,Viborg,31181.0,17.6,85.6
CA,West Carson CDP,64613.0,8.2,84.8
PA,Hyde Park CDP,52168.0,9.6,83.6
TX,Kaufman,40595.0,27.7,77.2
VT,Montpelier,61588.0,11.1,94.6
CO,Gleneagle CDP,106030.0,1.1,97.6
CA,Hat Creek CDP,36042.0,21.9,58.1
OH,Monroe,71588.0,6.3,92.6
CA,Gilroy,83027.0,15.1,77.0
IL,Highwood,50750.0,14.8,83.1
NC,Candor town,37400.0,25.7,79.3
NE,Exeter village,55893.0,10.4,94.0
VA,Bowling Green town,53405.0,16.6,85.9
PA,Exeter borough,38862.0,11.3,90.5
MI,Brown,36319.0,21.2,91.8
MT,Darby town,24333.0,27.9,83.6
TX,Lakeside town,84375.0,3.6,94.3
NE,Trumbull village,48750.0,7.0,91.2
MS,Walls town,38558.0,18.7,87.2
MO,Shelbyville,37083.0,10.4,93.4
IL,Loves Park,50917.0,11.4,90.3
IL,Cherry Valley village,56250.0,0.6,94.3
KY,Jamestown,22083.0,45.1,68.5
NY,Waterloo village,45919.0,15.9,90.8
PA,Levittown CDP,69878.0,5.9,92.3
MA,Monomoscoy Island CDP,114491.0,0.0,91.8
MI,Royal Oak,65786.0,7.3,96.1
KY,Ezel CDP,21250.0,35.1,60.6
WI,Richland Center,37591.0,17.5,90.2
WY,Buffalo,49469.0,8.4,93.9
IA,Story,52330.0,8.5,89.9
MA,Hudson CDP,67258.0,7.1,89.6
PA,North Warren CDP,47193.0,1.5,85.4
VA,West Springfield CDP,111809.0,3.1,95.7
NC,Crossnore town,42188.0,2.1,81.3
WI,Milwaukee,35958.0,28.7,82.1
NY,Oyster Bay Cove village,210288.0,0.5,97.6
PA,South Pottstown CDP,52462.0,6.3,87.7
AL,Cusseta town,52500.0,9.3,83.7
MA,Athol CDP,42013.0,21.9,83.3
FL,Key Colony Beach,62390.0,4.9,95.4
WA,Parkwood CDP,54346.0,10.3,93.4
TX,Redwood CDP,47778.0,16.6,59.6
MO,Diggins village,37500.0,10.0,85.0
NC,Harrells town,51250.0,8.2,84.6
WI,Ixonia CDP,71944.0,6.9,96.4
MN,Wanamingo,49539.0,16.4,88.7
NM,Melrose village,35096.0,18.3,91.3
IA,College Springs,31786.0,16.6,91.7
PA,Rothsville CDP,71888.0,3.7,91.2
IA,Derby,48750.0,22.7,84.6
NH,Newmarket CDP,53025.0,12.0,91.9
IA,Redfield,47171.0,12.3,91.0
WI,Cedarburg,72098.0,6.8,96.8
WY,Cowley town,58000.0,11.4,95.1
GA,Calvary CDP,67125.0,6.2,100.0
WV,Sissonville CDP,39398.0,17.4,90.6
NC,Siler town,29956.0,26.3,66.0
AK,Manokotak,36667.0,17.4,87.5
GA,Whitemarsh Island CDP,57378.0,11.0,97.2
WI,River Falls,48936.0,20.7,95.9
MD,Hebron town,53224.0,5.7,92.3
PA,Morrisdale CDP,49423.0,9.3,77.2
IL,Cooksville village,43000.0,14.3,93.5
WI,Marengo CDP,31875.0,19.1,85.5
PA,Lewisburg borough,44235.0,26.8,81.4
MO,Houstonia,32500.0,20.8,73.8
PA,Orrtanna CDP,80833.0,6.8,92.8
TX,Lone Oak,50179.0,12.0,88.7
OH,Stoutsville village,40938.0,13.1,86.3
PA,Shrewsbury borough,70625.0,3.5,90.1
OK,Broken Arrow,67131.0,8.0,93.7
UT,Mendon,80870.0,3.0,99.5
OH,Greenhills village,55691.0,11.1,92.0
NY,Woodstock CDP,57485.0,13.3,97.2
GA,Ephesus,48333.0,19.7,77.2
UT,Copperton CDP,60379.0,0.0,90.7
TX,Palm Valley,73571.0,4.7,93.0
NY,Orchard Park village,75536.0,2.5,98.5
OH,Belmont village,36705.0,8.7,89.9
NJ,Hopewell borough,101316.0,1.7,98.0
WA,Tanner CDP,153750.0,0.0,97.8
IA,Quasqueton,42697.0,9.1,93.4
MD,Fountainhead-Orchard Hills CDP,75576.0,5.7,95.0
IL,Macedonia village,38333.0,0.0,78.4
NE,Kimball,36940.0,14.9,85.2
MT,Crow Agency CDP,52583.0,36.0,85.0
CA,Good Hope CDP,35688.0,38.1,57.2
NC,Mount Airy,33058.0,23.1,75.7
CA,El Dorado Hills CDP,119452.0,4.7,96.9
NC,Midland town,53885.0,8.6,88.7
OH,New London village,39821.0,20.0,84.5
WV,Mabscott town,54856.0,11.4,90.0
IN,Yeoman town,44375.0,16.8,85.1
PA,Freeburg borough,53750.0,8.6,89.3
OK,Oklahoma,47779.0,18.3,85.0
ID,Albion,52813.0,25.6,92.4
MO,Jacksonville village,43125.0,17.6,79.3
IN,Pittsboro town,78047.0,5.2,92.5
IN,Bloomfield town,37500.0,15.3,84.8
MD,Edgemere CDP,57486.0,8.2,84.7
NV,Ruth CDP,47371.0,19.9,94.4
ND,White Earth,41484.0,61.7,100.0
IL,Lake Forest,155792.0,5.4,98.0
CA,Woodville CDP,32917.0,51.8,27.2
VA,Shenandoah town,40139.0,13.5,75.7
GA,Maxeys town,70313.0,8.0,81.8
MO,Bellerive village,122500.0,3.3,94.2
IL,Noble village,40341.0,18.8,86.6
CA,Old Fig Garden CDP,59844.0,22.5,89.2
PA,Brittany Farms-The Highlands CDP,85917.0,1.9,93.3
WI,Haugen village,46875.0,8.2,91.2
TX,Holiday Beach CDP,24279.0,3.8,75.3
TX,South Toledo Bend CDP,52500.0,3.6,96.7
NC,Washington,31712.0,24.3,82.5
IN,Sandborn town,41563.0,6.0,82.4
ME,Ashland CDP,32045.0,20.3,85.4
IL,Collinsville,50015.0,12.7,92.1
PA,Chewton CDP,52981.0,10.1,90.3
WA,Electric,63977.0,2.6,92.7
AR,Landmark CDP,40850.0,9.0,85.7
NC,Garland town,20625.0,30.4,66.4
IL,Apple Canyon Lake CDP,73750.0,9.5,90.7
GA,Vinings CDP,68610.0,5.5,95.8
AR,Sulphur Springs CDP,50250.0,12.5,90.1
FL,Starke,32500.0,22.1,78.6
AR,Patterson,31125.0,32.2,69.9
NY,Lakeville CDP,37500.0,56.8,78.4
WY,Fort Washakie CDP,41875.0,26.7,85.4
TX,Central Gardens CDP,66736.0,5.7,93.4
MN,Wolverton,57188.0,10.8,93.5
PA,The Hideout CDP,53185.0,4.5,95.5
IN,Plainville town,39226.0,13.9,79.3
OK,Davidson town,26094.0,30.4,66.4
CA,Shasta Lake,42003.0,19.7,86.9
NY,Sodus Point village,51000.0,17.0,96.2
PA,Toughkenamon CDP,73929.0,16.2,73.6
TX,Sand Springs CDP,50438.0,18.5,83.0
UT,Leamington town,75625.0,16.9,94.5
CA,Albany,79596.0,11.4,96.4
IN,Milford town,38598.0,21.6,79.1
IA,Rickardsville,72778.0,7.8,93.3
PA,Strattanville borough,41042.0,21.9,88.7
WI,Birchwood village,27368.0,19.3,89.2
IA,Mason,43525.0,14.7,92.8
LA,Lake Charles,36751.0,24.1,84.7
IL,Hoopeston,41362.0,15.5,82.5
NE,Ralston,53810.0,5.9,87.6
NY,Rhinecliff CDP,62331.0,2.1,88.6
NY,Saddle Rock village,124375.0,3.9,94.4
MD,Langley Park CDP,56875.0,16.6,37.1
IL,Broadview village,52873.0,12.3,89.3
SC,Isle of Palms,95000.0,10.7,99.0
TN,Atwood town,32500.0,19.9,77.0
WI,Denmark village,43179.0,10.3,88.5
AR,Turrell,17353.0,35.6,65.2
MN,St. Rosa,88125.0,0.0,79.6
TX,Iago CDP,170625.0,0.0,100.0
NY,Jefferson Heights CDP,58281.0,5.7,77.1
GA,Waycross,25082.0,36.3,80.6
NC,Aulander town,25179.0,28.7,76.6
WY,Edgerton town,55500.0,38.2,82.1
